profile	Cruise	Site	DataOwner	Rawfilename	Instrument	CTDrosettefilename	yyyy-mm-dd hh:mm	Latitude 	Longitude	aa	exp	Pixel size	Particle filename	Plankton filename	Project
c_m158_001	M158	not_valid	Rainer Kiko(rainer.kiko@obs-vlfr.fr)	HDR20190920124242	uvp5	met_158_1_001	2019-09-20 12:42:42	-18.63558	11.94543	0.0037	1.1051	0.092	export_detailed_20230127_21_01_PAR_c_m158_001.tsv	no data available	uvp5_sn210_2019_m158
c_m158_002	M158	not_valid	Rainer Kiko(rainer.kiko@obs-vlfr.fr)	HDR20190920181125	uvp5	met_158_1_002	2019-09-20 18:11:25	-17.99937	11.36625	0.0037	1.1051	0.092	export_detailed_20230127_21_01_PAR_c_m158_002.tsv	no data available	uvp5_sn210_2019_m158
c_m158_003	M158	not_valid	Rainer Kiko(rainer.kiko@obs-vlfr.fr)	HDR20190921023054	uvp5	met_158_1_003	2019-09-21 02:30:54	-16.99937	11.26573	0.0037	1.1051	0.092	export_detailed_20230127_21_01_PAR_c_m158_003.tsv	no data available	uvp5_sn210_2019_m158
c_m158_004	M158	not_valid	Rainer Kiko(rainer.kiko@obs-vlfr.fr)	HDR20190921084029	uvp5	met_158_1_004	2019-09-21 08:40:29	-16.00062	11.56875	0.0037	1.1051	0.092	export_detailed_20230127_21_01_PAR_c_m158_004.tsv	no data available	uvp5_sn210_2019_m158
c_m158_005	M158	not_valid	Rainer Kiko(rainer.kiko@obs-vlfr.fr)	HDR20190921152059	uvp5	met_158_1_005	2019-09-21 15:20:59	-15.0	12.06587	0.0037	1.1051	0.092	export_detailed_20230127_21_01_PAR_c_m158_005.tsv	no data available	uvp5_sn210_2019_m158
c_m158_006	M158	not_valid	Rainer Kiko(rainer.kiko@obs-vlfr.fr)	HDR20190921215700	uvp5	met_158_1_006	2019-09-21 21:57:00	-14.0	12.20197	0.0037	1.1051	0.092	export_detailed_20230127_21_01_PAR_c_m158_006.tsv	no data available	uvp5_sn210_2019_m158
c_m158_007	M158	not_valid	Rainer Kiko(rainer.kiko@obs-vlfr.fr)	HDR20190922055845	uvp5	met_158_1_007	2019-09-22 05:58:45	-13.0	12.718	0.0037	1.1051	0.092	export_detailed_20230127_21_01_PAR_c_m158_007.tsv	no data available	uvp5_sn210_2019_m158
c_m158_008	M158	not_valid	Rainer Kiko(rainer.kiko@obs-vlfr.fr)	HDR20190922135522	uvp5	met_158_1_008	2019-09-22 13:55:22	-12.0	13.38027	0.0037	1.1051	0.092	export_detailed_20230127_21_01_PAR_c_m158_008.tsv	no data available	uvp5_sn210_2019_m158
c_m158_009	M158	not_valid	Rainer Kiko(rainer.kiko@obs-vlfr.fr)	HDR20190922212434	uvp5	met_158_1_009	2019-09-22 21:24:34	-10.63433	13.29952	0.0037	1.1051	0.092	export_detailed_20230127_21_01_PAR_c_m158_009.tsv	no data available	uvp5_sn210_2019_m158
c_m158_010	M158	not_valid	Rainer Kiko(rainer.kiko@obs-vlfr.fr)	HDR20190922231312	uvp5	met_158_1_010	2019-09-22 23:13:12	-10.6665	13.24983	0.0037	1.1051	0.092	export_detailed_20230127_21_01_PAR_c_m158_010.tsv	no data available	uvp5_sn210_2019_m158
c_m158_011	M158	not_valid	Rainer Kiko(rainer.kiko@obs-vlfr.fr)	HDR20190923010712	uvp5	met_158_1_011	2019-09-23 01:07:12	-10.69987	13.19942	0.0037	1.1051	0.092	export_detailed_20230127_21_01_PAR_c_m158_011.tsv	no data available	uvp5_sn210_2019_m158
c_m158_012	M158	not_valid	Rainer Kiko(rainer.kiko@obs-vlfr.fr)	HDR20190923040019	uvp5	met_158_1_012	2019-09-23 04:00:19	-10.73333	13.15003	0.0037	1.1051	0.092	export_detailed_20230127_21_01_PAR_c_m158_012.tsv	no data available	uvp5_sn210_2019_m158
c_m158_013	M158	not_valid	Rainer Kiko(rainer.kiko@obs-vlfr.fr)	HDR20190923132926	uvp5	met_158_1_013	2019-09-23 13:29:26	-10.50012	13.49967	0.0037	1.1051	0.092	export_detailed_20230127_21_01_PAR_c_m158_013.tsv	no data available	uvp5_sn210_2019_m158
c_m158_014	M158	not_valid	Rainer Kiko(rainer.kiko@obs-vlfr.fr)	HDR20190923145712	uvp5	met_158_1_014	2019-09-23 14:57:12	-10.53367	13.45017	0.0037	1.1051	0.092	export_detailed_20230127_21_01_PAR_c_m158_014.tsv	no data available	uvp5_sn210_2019_m158
c_m158_015	M158	not_valid	Rainer Kiko(rainer.kiko@obs-vlfr.fr)	HDR20190923163145	uvp5	met_158_1_015	2019-09-23 16:31:45	-10.56706	13.40072	0.0037	1.1051	0.092	export_detailed_20230127_21_01_PAR_c_m158_015.tsv	no data available	uvp5_sn210_2019_m158
c_m158_016	M158	not_valid	Rainer Kiko(rainer.kiko@obs-vlfr.fr)	HDR20190923175541	uvp5	met_158_1_016	2019-09-23 17:55:41	-10.59995	13.35013	0.0037	1.1051	0.092	export_detailed_20230127_21_01_PAR_c_m158_016.tsv	no data available	uvp5_sn210_2019_m158
c_m158_017	M158	not_valid	Rainer Kiko(rainer.kiko@obs-vlfr.fr)	HDR20190923225645	uvp5	met_158_1_017	2019-09-23 22:56:45	-10.76567	13.1013	0.0037	1.1051	0.092	export_detailed_20230127_21_01_PAR_c_m158_017.tsv	no data available	uvp5_sn210_2019_m158
c_m158_018	M158	not_valid	Rainer Kiko(rainer.kiko@obs-vlfr.fr)	HDR20190924012041	uvp5	met_158_1_018	2019-09-24 01:20:41	-10.79925	13.05105	0.0037	1.1051	0.092	export_detailed_20230127_21_01_PAR_c_m158_018.tsv	no data available	uvp5_sn210_2019_m158
c_m158_019	M158	not_valid	Rainer Kiko(rainer.kiko@obs-vlfr.fr)	HDR20190924041823	uvp5	met_158_1_019	2019-09-24 04:18:23	-10.83268	13.00128	0.0037	1.1051	0.092	export_detailed_20230127_21_01_PAR_c_m158_019.tsv	no data available	uvp5_sn210_2019_m158
c_m158_020	M158	not_valid	Rainer Kiko(rainer.kiko@obs-vlfr.fr)	HDR20190924064849	uvp5	met_158_1_020	2019-09-24 06:48:49	-10.88827	12.91665	0.0037	1.1051	0.092	export_detailed_20230127_21_01_PAR_c_m158_020.tsv	no data available	uvp5_sn210_2019_m158
c_m158_021	M158	not_valid	Rainer Kiko(rainer.kiko@obs-vlfr.fr)	HDR20190924094420	uvp5	met_158_1_021	2019-09-24 09:44:20	-10.93373	12.83447	0.0037	1.1051	0.092	export_detailed_20230127_21_01_PAR_c_m158_021.tsv	no data available	uvp5_sn210_2019_m158
c_m158_022	M158	not_valid	Rainer Kiko(rainer.kiko@obs-vlfr.fr)	HDR20190924124957	uvp5	met_158_1_022	2019-09-24 12:49:57	-10.99983	12.75093	0.0037	1.1051	0.092	export_detailed_20230127_21_01_PAR_c_m158_022.tsv	no data available	uvp5_sn210_2019_m158
c_m158_023	M158	not_valid	Rainer Kiko(rainer.kiko@obs-vlfr.fr)	HDR20190924183733	uvp5	met_158_1_023	2019-09-24 18:37:33	-11.33443	12.24998	0.0037	1.1051	0.092	export_detailed_20230127_21_01_PAR_c_m158_023.tsv	no data available	uvp5_sn210_2019_m158
c_m158_024	M158	not_valid	Rainer Kiko(rainer.kiko@obs-vlfr.fr)	HDR20190925014339	uvp5	met_158_1_024	2019-09-25 01:43:39	-11.75007	11.63428	0.0037	1.1051	0.092	export_detailed_20230127_21_01_PAR_c_m158_024.tsv	no data available	uvp5_sn210_2019_m158
c_m158_025	M158	not_valid	Rainer Kiko(rainer.kiko@obs-vlfr.fr)	HDR20190925125603	uvp5	met_158_1_025	2019-09-25 12:56:03	-10.83233	13.00133	0.0037	1.1051	0.092	export_detailed_20230127_21_01_PAR_c_m158_025.tsv	no data available	uvp5_sn210_2019_m158
c_m158_026	M158	not_valid	Rainer Kiko(rainer.kiko@obs-vlfr.fr)	HDR20190926192828	uvp5	met_158_1_026	2019-09-26 19:28:28	-6.4503	11.36695	0.0037	1.1051	0.092	export_detailed_20230127_21_01_PAR_c_m158_026.tsv	no data available	uvp5_sn210_2019_m158
c_m158_027	M158	not_valid	Rainer Kiko(rainer.kiko@obs-vlfr.fr)	HDR20190928222548	uvp5	met_158_1_027	2019-09-28 22:25:48	0.0	5.0	0.0037	1.1051	0.092	export_detailed_20230127_21_01_PAR_c_m158_027.tsv	no data available	uvp5_sn210_2019_m158
c_m158_028	M158	not_valid	Rainer Kiko(rainer.kiko@obs-vlfr.fr)	HDR20190929002918	uvp5	met_158_1_028	2019-09-29 00:29:18	0.0	5.0	0.0037	1.1051	0.092	export_detailed_20230127_21_01_PAR_c_m158_028.tsv	no data available	uvp5_sn210_2019_m158
c_m158_029	M158	not_valid	Rainer Kiko(rainer.kiko@obs-vlfr.fr)	HDR20190929200748	uvp5	met_158_1_029	2019-09-29 20:07:48	0.0	2.0	0.0037	1.1051	0.092	export_detailed_20230127_21_01_PAR_c_m158_029.tsv	no data available	uvp5_sn210_2019_m158
c_m158_030	M158	not_valid	Rainer Kiko(rainer.kiko@obs-vlfr.fr)	HDR20190929205427	uvp5	met_158_1_030	2019-09-29 20:54:27	0.0	2.0	0.0037	1.1051	0.092	export_detailed_20230127_21_01_PAR_c_m158_030.tsv	no data available	uvp5_sn210_2019_m158
c_m158_031	M158	not_valid	Rainer Kiko(rainer.kiko@obs-vlfr.fr)	HDR20190930054926	uvp5	met_158_1_031	2019-09-30 05:49:26	0.0	1.0	0.0037	1.1051	0.092	export_detailed_20230127_21_01_PAR_c_m158_031.tsv	no data available	uvp5_sn210_2019_m158
c_m158_032	M158	not_valid	Rainer Kiko(rainer.kiko@obs-vlfr.fr)	HDR20190930160729	uvp5	met_158_1_032	2019-09-30 16:07:29	0.0	0.0	0.0037	1.1051	0.092	export_detailed_20230127_21_01_PAR_c_m158_032.tsv	no data available	uvp5_sn210_2019_m158
c_m158_033	M158	not_valid	Rainer Kiko(rainer.kiko@obs-vlfr.fr)	HDR20190930174319	uvp5	met_158_1_033	2019-09-30 17:43:19	0.0	0.0	0.0037	1.1051	0.092	export_detailed_20230127_21_01_PAR_c_m158_033.tsv	no data available	uvp5_sn210_2019_m158
c_m158_034	M158	not_valid	Rainer Kiko(rainer.kiko@obs-vlfr.fr)	HDR20191001041940	uvp5	met_158_1_034	2019-10-01 04:19:40	0.0	-1.0	0.0037	1.1051	0.092	export_detailed_20230127_21_01_PAR_c_m158_034.tsv	no data available	uvp5_sn210_2019_m158
c_m158_035	M158	not_valid	Rainer Kiko(rainer.kiko@obs-vlfr.fr)	HDR20191001134631	uvp5	met_158_1_035	2019-10-01 13:46:31	0.0	-2.0	0.0037	1.1051	0.092	export_detailed_20230127_21_01_PAR_c_m158_035.tsv	no data available	uvp5_sn210_2019_m158
c_m158_036	M158	not_valid	Rainer Kiko(rainer.kiko@obs-vlfr.fr)	HDR20191001231536	uvp5	met_158_1_036	2019-10-01 23:15:36	0.0	-3.0	0.0037	1.1051	0.092	export_detailed_20230127_21_01_PAR_c_m158_036.tsv	no data available	uvp5_sn210_2019_m158
c_m158_037	M158	not_valid	Rainer Kiko(rainer.kiko@obs-vlfr.fr)	HDR20191002091753	uvp5	met_158_1_037	2019-10-02 09:17:53	0.0	-4.0	0.0037	1.1051	0.092	export_detailed_20230127_21_01_PAR_c_m158_037.tsv	no data available	uvp5_sn210_2019_m158
c_m158_038	M158	not_valid	Rainer Kiko(rainer.kiko@obs-vlfr.fr)	HDR20191002183128	uvp5	met_158_1_038	2019-10-02 18:31:28	0.0	-5.0	0.0037	1.1051	0.092	export_detailed_20230127_21_01_PAR_c_m158_038.tsv	no data available	uvp5_sn210_2019_m158
c_m158_039	M158	not_valid	Rainer Kiko(rainer.kiko@obs-vlfr.fr)	HDR20191002202514	uvp5	met_158_1_039	2019-10-02 20:25:14	0.0	-5.0	0.0037	1.1051	0.092	export_detailed_20230127_21_01_PAR_c_m158_039.tsv	no data available	uvp5_sn210_2019_m158
c_m158_040	M158	not_valid	Rainer Kiko(rainer.kiko@obs-vlfr.fr)	HDR20191003060638	uvp5	met_158_1_040	2019-10-03 06:06:38	0.0	-6.0	0.0037	1.1051	0.092	export_detailed_20230127_21_01_PAR_c_m158_040.tsv	no data available	uvp5_sn210_2019_m158
c_m158_041	M158	not_valid	Rainer Kiko(rainer.kiko@obs-vlfr.fr)	HDR20191003153029	uvp5	met_158_1_041	2019-10-03 15:30:29	0.0	-7.0	0.0037	1.1051	0.092	export_detailed_20230127_21_01_PAR_c_m158_041.tsv	no data available	uvp5_sn210_2019_m158
c_m158_042	M158	not_valid	Rainer Kiko(rainer.kiko@obs-vlfr.fr)	HDR20191004012401	uvp5	met_158_1_042	2019-10-04 01:24:01	0.0	-8.0	0.0037	1.1051	0.092	export_detailed_20230127_21_01_PAR_c_m158_042.tsv	no data available	uvp5_sn210_2019_m158
c_m158_043	M158	not_valid	Rainer Kiko(rainer.kiko@obs-vlfr.fr)	HDR20191004115317	uvp5	met_158_1_043	2019-10-04 11:53:17	0.0	-9.0	0.0037	1.1051	0.092	export_detailed_20230127_21_01_PAR_c_m158_043.tsv	no data available	uvp5_sn210_2019_m158
c_m158_044	M158	not_valid	Rainer Kiko(rainer.kiko@obs-vlfr.fr)	HDR20191004223605	uvp5	met_158_1_044	2019-10-04 22:36:05	0.0	-10.0	0.0037	1.1051	0.092	export_detailed_20230127_21_01_PAR_c_m158_044.tsv	no data available	uvp5_sn210_2019_m158
c_m158_045	M158	not_valid	Rainer Kiko(rainer.kiko@obs-vlfr.fr)	HDR20191005001503	uvp5	met_158_1_045	2019-10-05 00:15:03	0.0	-10.0	0.0037	1.1051	0.092	export_detailed_20230127_21_01_PAR_c_m158_045.tsv	no data available	uvp5_sn210_2019_m158
c_m158_046	M158	not_valid	Rainer Kiko(rainer.kiko@obs-vlfr.fr)	HDR20191005123607	uvp5	met_158_1_046	2019-10-05 12:36:07	0.0	-11.0	0.0037	1.1051	0.092	export_detailed_20230127_21_01_PAR_c_m158_046.tsv	no data available	uvp5_sn210_2019_m158
c_m158_047	M158	not_valid	Rainer Kiko(rainer.kiko@obs-vlfr.fr)	HDR20191005214337	uvp5	met_158_1_047	2019-10-05 21:43:37	0.0	-12.0	0.0037	1.1051	0.092	export_detailed_20230127_21_01_PAR_c_m158_047.tsv	no data available	uvp5_sn210_2019_m158
c_m158_048	M158	not_valid	Rainer Kiko(rainer.kiko@obs-vlfr.fr)	HDR20191006083623	uvp5	met_158_1_048	2019-10-06 08:36:23	0.0	-13.0	0.0037	1.1051	0.092	export_detailed_20230127_21_01_PAR_c_m158_048.tsv	no data available	uvp5_sn210_2019_m158
c_m158_049	M158	not_valid	Rainer Kiko(rainer.kiko@obs-vlfr.fr)	HDR20191006185750	uvp5	met_158_1_049	2019-10-06 18:57:50	0.0	-14.0	0.0037	1.1051	0.092	export_detailed_20230127_21_01_PAR_c_m158_049.tsv	no data available	uvp5_sn210_2019_m158
c_m158_050	M158	not_valid	Rainer Kiko(rainer.kiko@obs-vlfr.fr)	HDR20191007060251	uvp5	met_158_1_050	2019-10-07 06:02:51	0.0	-15.0	0.0037	1.1051	0.092	export_detailed_20230127_21_01_PAR_c_m158_050.tsv	no data available	uvp5_sn210_2019_m158
c_m158_051	M158	not_valid	Rainer Kiko(rainer.kiko@obs-vlfr.fr)	HDR20191007081357	uvp5	met_158_1_051	2019-10-07 08:13:57	0.0035	-14.97367	0.0037	1.1051	0.092	export_detailed_20230127_21_01_PAR_c_m158_051.tsv	no data available	uvp5_sn210_2019_m158
c_m158_052	M158	not_valid	Rainer Kiko(rainer.kiko@obs-vlfr.fr)	HDR20191007184740	uvp5	met_158_1_052	2019-10-07 18:47:40	0.0	-16.0	0.0037	1.1051	0.092	export_detailed_20230127_21_01_PAR_c_m158_052.tsv	no data available	uvp5_sn210_2019_m158
c_m158_053	M158	not_valid	Rainer Kiko(rainer.kiko@obs-vlfr.fr)	HDR20191008050331	uvp5	met_158_1_053	2019-10-08 05:03:31	0.0	-17.0	0.0037	1.1051	0.092	export_detailed_20230127_21_01_PAR_c_m158_053.tsv	no data available	uvp5_sn210_2019_m158
